[2026-03-24 10:17:32] [ERROR] 交易导入失败: 基金163808 日期2026-03-17：卖出份额超过交易时点可用持仓（可用2564.19, 本次2819.68, 确认金额6281.70, 手续费31.56, 净值2.2390） | row=3 | fund_code=163808 | order_no=20260317001080012404050060247279 | tx_type=用户卖出 | trade_time=2026-03-17 | amount=6281.7 | fee=31.56 | diag={"db_snapshot_shares": 2564.19, "net_value": 2.239, "confirm_amount": 6281.7, "fee": 31.56, "sell_gross_amount": 6313.26, "computed_shares": 2819.68, "confirmed_shares": 2819.68, "timeline_holding": 2564.19, "request_shares_2": 2819.68, "available_shares_2": 2564.19}
[2026-03-24 10:20:09] [ERROR] 交易导入失败: 基金260101 日期2024-11-11：卖出份额超过交易时点可用持仓（可用1483.79, 本次1535.14, 确认金额5953.63, 手续费17.76, 净值3.8898） | row=938 | fund_code=260101 | order_no=20241111001080012404050041675781 | tx_type=用户卖出 | trade_time=2024-11-11 | amount=5953.63 | fee=17.76 | diag={"db_snapshot_shares": 1483.79, "net_value": 3.8898, "confirm_amount": 5953.63, "fee": 17.76, "sell_gross_amount": 5971.39, "computed_shares": 1535.14, "confirmed_shares": 1535.14, "timeline_holding": 1483.79, "request_shares_2": 1535.14, "available_shares_2": 1483.79}
[2026-03-24 10:20:09] [ERROR] 交易导入失败: 基金110011 日期2025-03-10：卖出份额超过交易时点可用持仓（可用2151.12, 本次2191.60, 确认金额11741.89, 手续费44.75, 净值5.3781） | row=817 | fund_code=110011 | order_no=20250310001080012404050083112940 | tx_type=用户卖出 | trade_time=2025-03-10 | amount=11741.89 | fee=44.75 | diag={"db_snapshot_shares": 5605.98, "net_value": 5.3781, "confirm_amount": 11741.89, "fee": 44.75, "sell_gross_amount": 11786.64, "computed_shares": 2191.6, "confirmed_shares": 2191.6, "timeline_holding": 2151.12, "request_shares_2": 2191.6, "available_shares_2": 2151.12}
[2026-03-24 10:20:09] [ERROR] 交易导入失败: 基金161226 日期2026-03-06：交易类型仅支持买入/卖出/分红 | row=9 | fund_code=161226 | order_no=20260306001080012604050031555290 | tx_type=转托管出 | trade_time=2026-03-06 | amount=1443.42 | fee=0 | diag={}
[2026-03-24 10:20:09] [ERROR] 交易导入失败: 基金163808 日期2026-03-17：卖出份额超过交易时点可用持仓（可用2564.19, 本次2819.68, 确认金额6281.70, 手续费31.56, 净值2.2390） | row=3 | fund_code=163808 | order_no=20260317001080012404050060247279 | tx_type=用户卖出 | trade_time=2026-03-17 | amount=6281.7 | fee=31.56 | diag={"db_snapshot_shares": 2564.19, "net_value": 2.239, "confirm_amount": 6281.7, "fee": 31.56, "sell_gross_amount": 6313.26, "computed_shares": 2819.68, "confirmed_shares": 2819.68, "timeline_holding": 2564.19, "request_shares_2": 2819.68, "available_shares_2": 2564.19}
[2026-03-24 10:30:36] [ERROR] 交易导入失败: 基金110011 日期2025-03-10：卖出份额超过交易时点可用持仓（可用2151.12, 本次2191.60, 确认金额11741.89, 手续费44.75, 净值5.3781） | row=817 | fund_code=110011 | order_no=20250310001080012404050083112940 | tx_type=用户卖出 | trade_time=2025-03-10 | amount=11741.89 | fee=44.75 | diag={"db_snapshot_shares": 5605.98, "net_value": 5.3781, "confirm_amount": 11741.89, "fee": 44.75, "sell_gross_amount": 11786.64, "computed_shares": 2191.6, "confirmed_shares": 2191.6, "timeline_holding": 2151.12, "request_shares_2": 2191.6, "available_shares_2": 2151.12}
[2026-03-24 10:30:36] [ERROR] 交易导入失败: 基金161226 日期2026-03-06：交易类型仅支持买入/卖出/分红 | row=9 | fund_code=161226 | order_no=20260306001080012604050031555290 | tx_type=转托管出 | trade_time=2026-03-06 | amount=1443.42 | fee=0 | diag={}
[2026-03-24 10:30:36] [ERROR] 交易导入失败: 基金163808 日期2026-03-17：卖出份额超过交易时点可用持仓（可用2564.19, 本次2819.68, 确认金额6281.70, 手续费31.56, 净值2.2390） | row=3 | fund_code=163808 | order_no=20260317001080012404050060247279 | tx_type=用户卖出 | trade_time=2026-03-17 | amount=6281.7 | fee=31.56 | diag={"db_snapshot_shares": 2564.19, "net_value": 2.239, "confirm_amount": 6281.7, "fee": 31.56, "sell_gross_amount": 6313.26, "computed_shares": 2819.68, "confirmed_shares": 2819.68, "timeline_holding": 2564.19, "request_shares_2": 2819.68, "available_shares_2": 2564.19}
[2026-03-24 10:33:21] [ERROR] 交易导入失败: 基金161226 日期2026-03-06：交易类型仅支持买入/卖出/分红 | row=9 | fund_code=161226 | order_no=20260306001080012604050031555290 | tx_type=转托管出 | trade_time=2026-03-06 | amount=1443.42 | fee=0 | diag={}
[2026-03-24 10:33:21] [ERROR] 交易导入失败: 基金163808 日期2026-03-17：卖出份额超过交易时点可用持仓（可用2564.19, 本次2819.68, 确认金额6281.70, 手续费31.56, 净值2.2390） | row=3 | fund_code=163808 | order_no=20260317001080012404050060247279 | tx_type=用户卖出 | trade_time=2026-03-17 | amount=6281.7 | fee=31.56 | diag={"db_snapshot_shares": 2564.19, "net_value": 2.239, "confirm_amount": 6281.7, "fee": 31.56, "sell_gross_amount": 6313.26, "computed_shares": 2819.68, "confirmed_shares": 2819.68, "timeline_holding": 2564.19, "request_shares_2": 2819.68, "available_shares_2": 2564.19}
[2026-03-24 10:38:13] [ERROR] 交易导入失败: 基金161226 日期2026-03-06：交易类型仅支持买入/卖出/分红 | row=9 | fund_code=161226 | order_no=20260306001080012604050031555290 | tx_type=转托管出 | trade_time=2026-03-06 | amount=1443.42 | fee=0 | diag={}
