2026-03-24 10:00:17.030 | ERROR    | fund:search_one_code:614 - 查询基金代码【005939】失败: HTTPSConnectionPool(host='www.fund123.cn', port=443): Max retries exceeded with url: /matiaria?fundCode=005939 (Caused by NameResolutionError("HTTPSConnection(host='www.fund123.cn', port=443): Failed to resolve 'www.fund123.cn' ([Errno 8] nodename nor servname provided, or not known)"))
2026-03-24 10:00:17.031 | ERROR    | fund:search_one_code:614 - 查询基金代码【000913】失败: HTTPSConnectionPool(host='www.fund123.cn', port=443): Max retries exceeded with url: /matiaria?fundCode=000913 (Caused by NameResolutionError("HTTPSConnection(host='www.fund123.cn', port=443): Failed to resolve 'www.fund123.cn' ([Errno 8] nodename nor servname provided, or not known)"))
2026-03-24 10:00:17.031 | ERROR    | fund:search_one_code:614 - 查询基金代码【001632】失败: HTTPSConnectionPool(host='www.fund123.cn', port=443): Max retries exceeded with url: /matiaria?fundCode=001632 (Caused by NameResolutionError("HTTPSConnection(host='www.fund123.cn', port=443): Failed to resolve 'www.fund123.cn' ([Errno 8] nodename nor servname provided, or not known)"))
2026-03-24 10:00:17.031 | ERROR    | fund:search_one_code:614 - 查询基金代码【007539】失败: HTTPSConnectionPool(host='www.fund123.cn', port=443): Max retries exceeded with url: /matiaria?fundCode=007539 (Caused by NameResolutionError("HTTPSConnection(host='www.fund123.cn', port=443): Failed to resolve 'www.fund123.cn' ([Errno 8] nodename nor servname provided, or not known)"))
2026-03-24 10:00:17.032 | ERROR    | fund:search_one_code:614 - 查询基金代码【001838】失败: HTTPSConnectionPool(host='www.fund123.cn', port=443): Max retries exceeded with url: /matiaria?fundCode=001838 (Caused by NameResolutionError("HTTPSConnection(host='www.fund123.cn', port=443): Failed to resolve 'www.fund123.cn' ([Errno 8] nodename nor servname provided, or not known)"))
2026-03-24 10:00:17.042 | ERROR    | fund:search_one_code:614 - 查询基金代码【012768】失败: HTTPSConnectionPool(host='www.fund123.cn', port=443): Max retries exceeded with url: /matiaria?fundCode=012768 (Caused by NameResolutionError("HTTPSConnection(host='www.fund123.cn', port=443): Failed to resolve 'www.fund123.cn' ([Errno 8] nodename nor servname provided, or not known)"))
2026-03-24 10:00:17.043 | ERROR    | fund:search_one_code:614 - 查询基金代码【005495】失败: HTTPSConnectionPool(host='www.fund123.cn', port=443): Max retries exceeded with url: /matiaria?fundCode=005495 (Caused by NameResolutionError("HTTPSConnection(host='www.fund123.cn', port=443): Failed to resolve 'www.fund123.cn' ([Errno 8] nodename nor servname provided, or not known)"))
2026-03-24 10:00:17.043 | ERROR    | fund:search_one_code:614 - 查询基金代码【002079】失败: HTTPSConnectionPool(host='www.fund123.cn', port=443): Max retries exceeded with url: /matiaria?fundCode=002079 (Caused by NameResolutionError("HTTPSConnection(host='www.fund123.cn', port=443): Failed to resolve 'www.fund123.cn' ([Errno 8] nodename nor servname provided, or not known)"))
2026-03-24 10:00:17.044 | ERROR    | fund:search_one_code:614 - 查询基金代码【012810】失败: HTTPSConnectionPool(host='www.fund123.cn', port=443): Max retries exceeded with url: /matiaria?fundCode=012810 (Caused by NameResolutionError("HTTPSConnection(host='www.fund123.cn', port=443): Failed to resolve 'www.fund123.cn' ([Errno 8] nodename nor servname provided, or not known)"))
2026-03-24 10:00:17.044 | ERROR    | fund:search_one_code:614 - 查询基金代码【012874】失败: HTTPSConnectionPool(host='www.fund123.cn', port=443): Max retries exceeded with url: /matiaria?fundCode=012874 (Caused by NameResolutionError("HTTPSConnection(host='www.fund123.cn', port=443): Failed to resolve 'www.fund123.cn' ([Errno 8] nodename nor servname provided, or not known)"))
2026-03-24 10:00:17.048 | ERROR    | fund:search_one_code:614 - 查询基金代码【005496】失败: HTTPSConnectionPool(host='www.fund123.cn', port=443): Max retries exceeded with url: /matiaria?fundCode=005496 (Caused by NameResolutionError("HTTPSConnection(host='www.fund123.cn', port=443): Failed to resolve 'www.fund123.cn' ([Errno 8] nodename nor servname provided, or not known)"))
2026-03-24 10:00:17.048 | ERROR    | fund:search_one_code:614 - 查询基金代码【015884】失败: HTTPSConnectionPool(host='www.fund123.cn', port=443): Max retries exceeded with url: /matiaria?fundCode=015884 (Caused by NameResolutionError("HTTPSConnection(host='www.fund123.cn', port=443): Failed to resolve 'www.fund123.cn' ([Errno 8] nodename nor servname provided, or not known)"))
2026-03-24 10:00:17.048 | ERROR    | fund:search_one_code:614 - 查询基金代码【001679】失败: HTTPSConnectionPool(host='www.fund123.cn', port=443): Max retries exceeded with url: /matiaria?fundCode=001679 (Caused by NameResolutionError("HTTPSConnection(host='www.fund123.cn', port=443): Failed to resolve 'www.fund123.cn' ([Errno 8] nodename nor servname provided, or not known)"))
2026-03-24 10:00:17.048 | ERROR    | fund:search_one_code:614 - 查询基金代码【017175】失败: HTTPSConnectionPool(host='www.fund123.cn', port=443): Max retries exceeded with url: /matiaria?fundCode=017175 (Caused by NameResolutionError("HTTPSConnection(host='www.fund123.cn', port=443): Failed to resolve 'www.fund123.cn' ([Errno 8] nodename nor servname provided, or not known)"))
2026-03-24 10:00:17.048 | ERROR    | fund:search_one_code:614 - 查询基金代码【016347】失败: HTTPSConnectionPool(host='www.fund123.cn', port=443): Max retries exceeded with url: /matiaria?fundCode=016347 (Caused by NameResolutionError("HTTPSConnection(host='www.fund123.cn', port=443): Failed to resolve 'www.fund123.cn' ([Errno 8] nodename nor servname provided, or not known)"))
2026-03-24 10:00:17.050 | ERROR    | fund:search_one_code:614 - 查询基金代码【011827】失败: HTTPSConnectionPool(host='www.fund123.cn', port=443): Max retries exceeded with url: /matiaria?fundCode=011827 (Caused by NameResolutionError("HTTPSConnection(host='www.fund123.cn', port=443): Failed to resolve 'www.fund123.cn' ([Errno 8] nodename nor servname provided, or not known)"))
